Designator,Quantity,Element UIDs,Part UID,Specification,Part Type,Domain,Compliance,JLCPCB Part Class,Operating Voltage,Operating Temperature,Reliability Target (MTBF),Role,Role Details,Software,Connector Type,Connector Gender,Connector Pitch,Connector Positions,Connector Rows,Power Requirements,Connectivity,Human Interface,Manufacturing Quantity Target,Manufacturer Part Number,LCSC Part Number,Digi-Key Part Number,Mouser Part Number,Arrow Part Number,Verical Part Number,TME Part Number,Allow Substitutes,Manufacturer Name,Price Change Threshold,Lead Time Change Threshold,Pricing Notification Frequency,Preferred Distributors,Datasheet URL,Implementation Details,License,Package or Case Code,Pin Type,Voltage,Voltage Rating,Forward Voltage,Reverse Voltage,Max Reverse Voltage,Diode Type,Mount,Integrated Circuit Type,Breakdown Voltage,Threshold Voltage,Max Output Voltage,Min Output Voltage,Initial Voltage on Reset,Resistance,Resistor Type,Gate Resistance,On Resistance,Off Resistance,Tolerance,Capacitance,Capacitor Type,Power,Power Rating,Current,Max Current,Desired Temperature Rise,Current Rating,Leakage Current,Saturation Current,Initial Current on Reset,Trigger Current,Holding Current,Frequency,Logic Function,Inductance,Inductor Shielding,Inductor Type,Beta,Drain to Source Voltage,Continuous Drain Current,Transistor Type,Gain,Coupling Coefficient,Ratio,Reference Design URL,Price,Purchase Url,Product Info Url,Product Image Url,Substitute Manufacturer Part Number,KiCAD Library Reference,Exclude from PCB,Controlled Impedance,Controlled Impedance Tolerance,PN Skew Max,Pair to Pair Skew Max,Pin Delay,Controlled Impedance Pair,Bus Group,Pair Role,Pin Role,Bus Type,Symbol Style,Symbol Size,Net Type,Package,Designator Prefix,Exclude from BOM
"J1,J2","2","550815ac-4971-4d4d-a713-367d289bbdf0,a007573e-8476-46ca-98bd-0497f84ed1b6","6dcc6145-b43c-8769-a516-1f31516f445b","Connector, SMD","Connector","","","","","","","RF Connector","50 ohm coax connector for external antenna feed","","","","","","","","","","","U.FL-R-SMT-1","","","","","","","","Hirose Electric Co Ltd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMD","J",""
"J3","1","311b67e8-c6d7-4b53-9662-5a055801ec1c","4eb2823c-3d2f-04db-081e-89675407a4eb","Connector, Through Hole","Connector","","","","","","","Speaker Header","2-pin 2.54mm speaker output header for external 8 ohm speaker","","","","","","","","","","","61300211121","","","","","","","","Wurth Elektronik","","","","","","","https://creativecommons.org/licenses/by/4.0/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Through Hole","J",""
"L3","1","093ccce3-a72a-44c9-8572-4303dd1bbae1","99fc34bc-b441-4f51-8d43-56f0f7b15232","Inductor, SMD","Inductor","","","","","","","Buck-Boost Inductor","1.5uH shielded high-current inductor for TPS63070 between L1 and L2 pins","","","","","","","","","","","74437346015","","","","","","","","Würth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMD","L",""
"Q1","1","8ed16146-0a93-4887-996d-6185911c4caf","0ec8fddf-7875-4062-922c-57d7484f9aa4",", SOT-23-6","","","","","","","","Charger Power MOSFET","High-side and low-side switching MOSFET pair for BQ24650 HIDRV and LODRV stage","","","","","","","","","","","DMG9926UDM","","","","","","","","","","","","","","","","SOT-23-6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOT-23-6","Q",""
"R1,R10,R3,R4,R5","5","4dfa6bbf-a55b-4292-8668-502b0d76cfa7,6be77479-2bdd-4b18-8c66-83c6aee7731e,92c9c43d-e59a-4332-8e0b-8da1693acda6,a9f2a8f4-dd9d-482f-9f3d-6b5070cef483,e9791ba1-048d-4929-8b6d-a37ba1edd082","b67f50a9-ae5e-10ea-9c3c-d377e2ab3b2d","Resistor, 10kΩ, SMD_0805_2012Metric","Resistor","","","","","","","Bias Resistor,BQ24650 VFB Bottom Resistor,Pull-up Resistor","Charge status pull-up for STAT1,BQ24650 TS sense placeholder,Bottom leg of charger voltage feedback divider from VFB to GND,Charge status pull-up for STAT2,TPS63070 PG pull-up to 3.3V with MCU monitor on PG_MON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","","","","","","","","","","","","10kΩ","","","","","%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","SMD_0805_2012Metric","R","false"
"R11","1","d6b58ba7-8139-4a28-8486-2baaaf85df5f","b67f50a9-ae5e-10ea-9c3c-d377e2ab3b2d","Resistor, 1MΩ, SMD_0805_2012Metric","Resistor","","","","","","","Feedback Resistor","Upper resistor in TPS63070 3.3V feedback divider","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","","","","","","","","","","","","1MΩ","","","","","%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMD_0805_2012Metric","R",""
"R12","1","93fa1008-f07d-4253-9488-1689cdd05ab7","b67f50a9-ae5e-10ea-9c3c-d377e2ab3b2d","Resistor, 180kΩ, SMD_0805_2012Metric","Resistor","","","","","","","Feedback Resistor","Lower resistor and FB2 link option for TPS63070 3.3V feedback network","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","","","","","","","","","","","","180kΩ","","","","","%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMD_0805_2012Metric","R",""
"R13,R14","2","71463880-0f9d-4ec8-aaea-f1eb4c61edac,8518a28e-fe63-434f-b942-810a36fad1e5","b67f50a9-ae5e-10ea-9c3c-d377e2ab3b2d","Resistor, 4.7kΩ, SMD_0805_2012Metric","Resistor","","","","","","","I2C Pullup","I2C SDA pull-up to 3.3V,I2C SCL pull-up to 3.3V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","","","","","","","","","","","","4.7kΩ","","","","","%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMD_0805_2012Metric","R",""
"R15,R2","2","0e28a83b-f2ba-4ffd-a433-e9a95dd85ef6,c9cd2930-fb12-4cd9-9cd8-c107a072a769","b67f50a9-ae5e-10ea-9c3c-d377e2ab3b2d","Resistor, 100kΩ, SMD_0805_2012Metric","Resistor","","","","","","","Enable Pull-up,BQ24650 VFB Top Resistor","Series/pull-up style EN termination from input rail to TPS63070 enable net,Temporary top leg / sense link from battery node toward charger VFB divider pending final value confirmation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","","","","","","","","","","","","100kΩ","","","","","%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMD_0805_2012Metric","R",""
"TP1,TP2,TP3,TP4,TP5","5","2543c468-7cee-485b-bebd-945b8eb969aa,40a5465e-0eca-4afb-9ad8-d44fca90aa01,5690a590-20b3-4a55-8715-2a525efe4309,78848d07-f5ef-4720-9ac6-9a223181445a,ad5f128d-4cd1-4408-a16d-5b85aac93d4e","f1f763cd-2952-46f4-976f-280c43af4d49","Connector, Through Hole","Connector","","","","","","","Test Point","2.54mm-access debug point for rails and interfaces","","","","","","","","","","","5002","","","","","","","","Keystone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Through Hole","TP",""
"U1","1","80d915fa-337d-4932-885d-f5008b307535","48f8ae9a-6e73-4809-abd1-de20b2d181ee","Microcontroller, Module","Microcontroller","","","","","","","Main MCU","Primary controller for WiFi/BLE, radio coordination, audio streaming, sensing, and system control","","","","","","","","","","","113991115","","","","","","","","seeed studio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.seeedstudio.com/XIAO-ESP32S3-Sense-p-5639.html","https://wiki.seeedstudio.com/xiao_esp32s3_getting_started/","","","","","","","","","","","","","","","","","","Module","U",""
"U2","1","1b1036f1-afa1-4d81-b4ce-abe2ba10f95c","b3a487f6-8a37-f6f9-9ce0-c68f58cb09e5"," RF module, Module"," RF module","","","","","","","LoRa Radio","SPI-connected sub-GHz LoRa transceiver for local mesh or long-range telemetry","","","","","","","","","","","Ai-Thinker-Ra-01","","","","","","","","Semtech","","","","","","","https://creativecommons.org/licenses/by/4.0/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","High Speed","Module","U",""
"U3","1","a781c591-af32-4adf-a093-32148b0a5580","8ad30d64-8310-bbec-2035-aed90d0c08be","Integrated Circuit, Mini-PCIe Module","Integrated Circuit","","","","","","","Satellite Modem","UART-connected Swarm M138 satellite modem for remote fallback messaging","","","","","","","","","","","M138 Modem","","","","","","","","SWARM","","","","","","","https://creativecommons.org/licenses/by/4.0/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mini-PCIe Module","U",""
"U4","1","6ec122f1-ea3e-4c8b-a084-a39d1af398e7","cee1419a-421e-4f86-9647-6f8a4538818e",", SOIC-28W_7.5x17.9mm_P1.27mm","","","","","","","","GPIO Expander","Low-speed control and monitoring expander for PIR, resets, status, and debug signals","","","","","","","","","","","MCP23017_SO","","","","","","","","Microchip Technology Inc.","","","","","","","","SOIC-28W_7.5x17.9mm_P1.27mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOIC-28","U",""
"U5","1","c00df1ca-29dc-48d9-a566-86dd7c000136","b1d3257f-b1ed-4321-86a0-15f221e49e51","Integrated Circuit, SOT-23-6","Integrated Circuit","","","","","","","Power TVS","TVS protection for solar and external power input lines","","","","","","","","","","","SRV05-4-P-T7","","","","","","","","ProTek Devices","","","","","","","https://creativecommons.org/licenses/by/4.0/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOT-23-6","U",""
